Chain ID,Start Time,End Time,Techniques,Tactic,Confidence Score,Explanation,Duration,Num Events
11241,2021-03-02 16:54:42.639,2021-03-02 16:54:42.639,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
11186,2021-03-02 16:54:42.686,2021-03-02 16:54:42.686,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
11193,2021-03-02 16:54:42.698,2021-03-02 16:54:42.698,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
11153,2021-03-02 16:54:42.717,2021-03-02 16:54:42.717,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
11160,2021-03-02 16:54:42.717,2021-03-02 16:54:42.717,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
11162,2021-03-02 16:54:42.717,2021-03-02 16:54:42.717,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
11133,2021-03-02 16:54:42.733,2021-03-02 16:54:42.733,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
11080,2021-03-02 16:54:42.804,2021-03-02 16:54:42.804,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
11071,2021-03-02 16:54:42.811,2021-03-02 16:54:42.811,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
11035,2021-03-02 16:54:42.826,2021-03-02 16:54:42.826,T1059.001,TA0002 Execution,40.0,Chain: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; powershell/encoded cmd. Likely T1059.001. Confidence 40%.,0.0,1
